,Date,Unix,Ticker,DE Ratio
0,2013-09-06 06:09:52,1378462192.0,a,56.39
1,2013-09-01 04:25:11,1378023911.0,aa,52.71
2,2013-08-11 02:30:32,1376202632.0,aapl,13.75
3,2013-06-19 09:57:38,1371650258.0,abbv,512.61
4,2013-04-25 01:02:00,1366866120.0,abc,59.73
5,2013-08-18 07:12:45,1376824365.0,abt,35.38
6,2013-05-16 15:08:57,1368731337.0,ace,27.94
7,2013-04-25 06:05:53,1366884353.0,aci,179.32
8,2013-05-10 03:17:29,1368170249.0,acn,0.0
9,2013-05-12 08:27:29,1368361649.0,act,177.28
10,2012-07-02 04:31:22,1341217882.0,adbe,24.76
11,2013-05-11 12:07:46,1368288466.0,adi,17.57
12,2013-06-07 17:17:34,1370639854.0,adm,46.71
13,2013-04-26 14:37:22,1367001442.0,adp,0.46
14,2013-05-14 02:47:26,1368514046.0,adsk,36.49
15,2013-05-09 13:05:42,1368119142.0,adt,69.94
16,2013-05-15 17:35:45,1368653745.0,aee,94.51
17,2013-04-25 05:13:54,1366881234.0,aep,126.19
18,2013-05-23 20:50:51,1369356651.0,aes,279.88
19,2013-06-05 05:12:09,1370423529.0,aet,63.37
20,2013-05-07 11:42:45,1367941365.0,afl,27.57
21,2013-05-12 05:08:18,1368349698.0,agn,40.37
22,2013-05-11 13:26:32,1368293192.0,aig,45.01
23,2013-05-14 20:29:12,1368577752.0,aiv,397.17
24,2013-05-07 11:26:28,1367940388.0,aiz,32.09
25,2013-05-09 08:24:15,1368102255.0,all,31.8
26,2013-06-02 09:56:44,1370181404.0,altr,14.49
27,2013-05-16 20:58:25,1368752305.0,alxn,7.13
28,2013-04-26 00:41:19,1366951279.0,amat,27.25
29,2013-05-11 20:14:11,1368317651.0,amd,492.53
30,2013-05-21 08:37:22,1369139842.0,amgn,122.58
31,2013-04-30 10:27:26,1367332046.0,amp,83.57
32,2013-05-15 18:14:17,1368656057.0,amt,234.16
33,2013-09-05 21:27:13,1378430833.0,amzn,34.83
34,2013-05-14 09:51:37,1368539497.0,an,251.78
35,2013-05-12 21:50:41,1368409841.0,anf,3.52
36,2013-05-12 20:09:23,1368403763.0,ann,0.14
37,2012-01-28 14:58:47,1327780727.0,aon,55.3
38,2013-05-10 03:19:15,1368170355.0,apa,39.4
39,2013-05-16 15:24:29,1368732269.0,apc,66.12
40,2013-05-15 13:09:58,1368637798.0,apd,86.63
41,2013-05-12 15:28:10,1368386890.0,aph,67.07
42,2013-05-11 13:55:35,1368294935.0,apol,8.8
43,2013-05-09 12:21:27,1368116487.0,arg,169.67
44,2013-05-07 07:34:15,1367926455.0,arna,92.31
45,2013-05-14 22:40:19,1368585619.0,ati,56.96
46,2013-05-14 03:02:32,1368514952.0,avb,68.3
47,2013-06-03 08:48:25,1370263705.0,avp,304.18
48,2013-04-25 05:03:00,1366880580.0,avy,77.32
49,2013-04-25 05:50:50,1366883450.0,axp,310.53
50,2013-04-26 01:20:15,1366953615.0,ba,174.44
51,2013-05-08 17:56:59,1368050219.0,bax,83.8
52,2013-05-13 22:03:23,1368497003.0,bby,61.8
53,2013-05-21 14:44:03,1369161843.0,bcr,74.19
54,2013-06-08 07:41:31,1370691691.0,bdx,90.86
55,2013-05-23 18:30:59,1369348259.0,beam,47.34
56,2013-04-25 14:42:50,1366915370.0,ben,25.65
57,2008-06-16 10:57:59,1213628279.0,bf-b,0.599
58,2013-05-11 09:33:28,1368279208.0,bhi,29.23
59,2013-05-12 20:12:09,1368403929.0,big,22.58
60,2013-09-02 02:25:17,1378103117.0,biib,9.23
61,2013-08-07 10:10:37,1375884637.0,bks,19.93
62,2013-04-25 08:04:06,1366891446.0,blk,121.83
63,2013-05-08 23:56:26,1368071786.0,bll,304.64
64,2013-05-16 09:37:41,1368711461.0,bmc,160.84
65,2013-05-09 03:14:02,1368083642.0,bms,95.11
66,2013-05-09 07:06:47,1368097607.0,bmy,57.63
67,2013-04-25 07:54:54,1366890894.0,brcm,21.6
68,2013-07-23 08:05:38,1374581138.0,brk-b,31.3
69,2013-05-09 23:54:58,1368158098.0,bsx,65.42
70,2013-04-25 02:53:29,1366872809.0,btu,125.32
71,2013-05-23 17:30:04,1369344604.0,bwa,37.98
72,2013-04-25 03:23:44,1366874624.0,bxp,152.52
73,2013-05-16 08:21:38,1368706898.0,ca,23.67
74,2013-05-16 15:00:39,1368730839.0,cab,173.81
75,2013-05-13 19:17:30,1368487050.0,cag,207.07
76,2013-04-25 03:34:17,1366875257.0,cah,44.28
77,2013-05-10 11:40:35,1368200435.0,cam,37.52
78,2013-05-12 19:32:38,1368401558.0,cat,221.07
79,2013-05-18 15:42:48,1368906168.0,cb,22.59
80,2013-05-09 12:41:59,1368117719.0,cbg,187.72
81,2013-05-11 22:17:38,1368325058.0,cbs,68.84
82,2013-05-21 16:44:13,1369169053.0,cce,147.53
83,2013-05-17 14:24:10,1368815050.0,cci,365.51
84,2013-05-10 02:06:07,1368165967.0,ccl,40.0
85,2013-05-16 18:26:51,1368743211.0,celg,56.28
86,2013-04-25 02:39:05,1366871945.0,cern,6.92
87,2013-04-25 09:26:53,1366896413.0,cf,25.55
88,2013-05-13 02:39:19,1368427159.0,cfn,21.07
89,2013-05-11 12:17:42,1368289062.0,chk,74.66
90,2013-05-10 00:28:28,1368160108.0,chrw,16.86
91,2013-06-04 23:43:20,1370403800.0,ci,55.35
92,2013-05-16 18:19:08,1368742748.0,cim,184.86
93,2013-05-23 16:34:19,1369341259.0,cinf,16.16
94,2013-04-26 19:52:42,1367020362.0,cl,218.83
95,2013-05-11 13:35:20,1368293720.0,clf,54.08
96,2013-05-15 12:06:08,1368633968.0,cmcsa,95.4
97,2013-05-10 09:14:39,1368191679.0,cme,13.2
98,2013-05-09 09:40:00,1368106800.0,cmi,11.4
99,2013-05-09 17:06:21,1368133581.0,cms,227.52
100,2013-05-23 18:24:38,1369347878.0,cnp,210.71
101,2013-04-25 04:46:50,1366879610.0,cnx,82.23
102,2013-05-15 18:34:27,1368657267.0,cog,53.08
103,2013-05-23 17:59:00,1369346340.0,coh,1.01
104,2013-05-15 17:53:23,1368654803.0,col,102.93
105,2013-05-16 10:49:55,1368715795.0,cop,50.9
106,2013-05-09 23:28:25,1368156505.0,cost,47.37
107,2013-05-01 00:03:20,1367381000.0,cov,46.94
108,2013-05-18 16:55:09,1368910509.0,cpb,390.39
109,2013-05-16 09:17:15,1368710235.0,crm,27.96
110,2013-05-25 08:18:14,1369484294.0,csc,86.46
111,2013-04-26 01:19:47,1366953587.0,csco,29.34
112,2013-05-13 09:58:51,1368453531.0,csx,100.75
113,2013-04-26 17:42:40,1367012560.0,ctas,61.46
114,2013-05-13 01:08:36,1368421716.0,ctl,110.25
115,2013-05-08 10:17:28,1368022648.0,cvs,25.29
116,2013-04-26 03:16:13,1366960573.0,cvx,8.85
117,2013-04-29 15:49:09,1367264949.0,d,197.49
